wyscout_name,search_name,fm_name,fm_id,fm_team,match_score,face_url,wyscout_teams
C. Sención,Cristian Emanuel Sención Rodríguez,Cristian Sención,78075677,Club Atlético River Plate (Montevideo),95,https://sortitoutsi.b-cdn.net/uploads/face/face_78075677.png,AD Unión Magdalena|River Plate
C. Sepúlveda,Claudio Elías Sepúlveda Castro,Claudio Sepúlveda,75008182,Huachipato,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75008182.png,Club Deportivo Huachipato|Huachipato
C. Sierra,Carlos José Sierra López,Carlos Sierra,76003828,América de Cali S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76003828.png,América de Cali|Club Llaneros SA
C. Spinelli,Claudio Paul Spinelli,Claudio Spinelli,14150244,Club de Regatas Vasco da Gama SAF,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14150244.png,Vasco da Gama|CSD Independiente del Valle
C. Suárez,Cristian Fernando Suárez Figueroa,Cristián Suárez,75003174,Club Social y de Deportes Concepción,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75003174.png,Palestino|Club Deportivo Palestino
C. Tarragona,Cristian Alberto Tarragona,Cristian Tarragona,14035007,Club Atlético Unión de Santa Fe,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14035007.png,Unión Santa Fe|Club Atlético Unión
C. Terán,Carlos Terán Díaz,Carlos Terán,76062372,Clube Athlético Paranaense,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76062372.png,Club Athletico Paranaense|Athletico Paranaense
C. Tobar,Cristian Alejandro Tobar Luna,Alejandro Tobar,2000161223,Liga Deportiva Universitaria de Quito,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000161223.png,Deportivo Cuenca|LDU Quito
C. Toro,Cristián Alejandro Toro Castañeda,Cristián Toro,75058388,Huachipato,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75058388.png,Club de Deportes Cobresal|Huachipato
C. Torres,Carlos Eduardo Torres Góngora,Carlos Torres,2000032371,,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000032371.png,Huachipato|Envigado FC|Envigado
C. Tovar,Cristian Camilo Tovar Angola,Cristian Tovar,76050924,América de Cali S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76050924.png,América de Cali
C. Trujillo,Cristian Esteban Trujillo Riascos,Cristian Trujillo,76062351,Club Deportes Tolima S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76062351.png,Deportes Tolima|Tolima
C. Villanueva,Carlo Alberto Villanueva Fuentes,Carlo Villanueva,75038844,Unión La Calera,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75038844.png,Club Deportivo Huachipato|Unión La Calera
C. Vivas,Carlos Alberto Vivas González,Carlos Vivas,86080243,Internacional de Bogotá,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86080243.png,CD La Equidad|Inter Bogotá
C. Vélez,Charles Ariel Vélez Plaza,Charles Vélez,86059730,Leones Fútbol Club,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86059730.png,El Nacional
C. Waterman,Cecílio Alfonso Waterman Ruiz,Cecilio Waterman,78044572,Universidad de Concepción,95,https://sortitoutsi.b-cdn.net/uploads/face/face_78044572.png,Coquimbo Unido|CD Coquimbo Unido
C. Yanis,César Augusto Yanis Velasco,César Yanis,80030210,Cobresal,95,https://sortitoutsi.b-cdn.net/uploads/face/face_80030210.png,Club de Deportes Cobresal|San Carlos
C. Zabala,Cristian Exequiel Zabala,Cristian Zabala,14217738,Club Atlético Sarmiento de Junín,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14217738.png,Sarmiento|CSD Independiente del Valle
C. Zapata,C. Zapata,Cristián Zapata,8825553,,95,https://sortitoutsi.b-cdn.net/uploads/face/face_8825553.png,
C. Zavala,Cristián Alexander Zavala Briones,Cristián Zavala,75045023,Colo Colo,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75045023.png,CD Coquimbo Unido|Colo Colo
Cain Jair Fara,Cain Jair Fara,Caín Fara,14124079,Club Universitario de Deportes,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14124079.png,CA Atlanta
Caio Marcelo,Caio Marcelo,Pinheiro Caio,19341549,,95,https://sortitoutsi.b-cdn.net/uploads/face/face_19341549.png,Vila Nova|Daegu
Calebe Costa,Calebe Oliveira Costa,Calebe,2000136157,Cuiabá Esporte Clube SAF,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000136157.png,Cuiaba Esporte Club|Cuiabá
Camilo Andrés Machado,Camilo Andrés Machado,Camilo Machado,14217736,Club Social y Deportivo Madryn,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14217736.png,Quilmes AC
Camilo Francisco Viganoni,Camilo Francisco Viganoni,Camilo Viganoni,2000140797,Club Atlético Los Andes,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000140797.png,CA Talleres Remedios de Escalada
Carlo María Lattanzio,Carlo María Lattanzio,Carlo Lattanzio,14131705,Club Atlético San Martín de San Juan,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14131705.png,Club Almagro
Carlos Alfredo Arce,Carlos Alfredo Arce,Carlos Arce,14032294,Club Atlético Barracas Central,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14032294.png,CA Los Andes
Carlos Arturo Bacca Ahumada,Carlos Arturo Bacca Ahumada,Carlos Bacca,76003938,Club Deportivo Popular Junior F.C. S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76003938.png,Club Deportivo Junior FC
Caíque,Caíque de Jesus Gonçalves,Caíque Gonçalves,19270810,Esporte Clube Vitória,95,https://sortitoutsi.b-cdn.net/uploads/face/face_19270810.png,Vitória|Juventude RS
Claudio Damián Campostrini,Claudio Damián Campostrini,Claudio Campostrini,2000087084,Club Atlético All Boys,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000087084.png,CA All Boys
Claudio Ezequiel Mosca,Claudio Ezequiel Mosca,Claudio Mosca,14019888,Club Cipolletti,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14019888.png,CA San Miguel
Cristian Agustín Fontana,Cristian Agustín Fontana,Agustín Fontana,14129970,Unión San Felipe,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14129970.png,AA Estudiantes de Río Cuarto
Cristian Gabriel Esparza,Cristian Gabriel Esparza,Cristian Esparza,14080609,Club Atlético Temperley,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14080609.png,CA Temperley
Cristian Matías Menéndez,Cristian Matías Menéndez,Cristian Menéndez,14010080,Club Atlético Gimnasia y Esgrima de Jujuy,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14010080.png,Gimnasia y Esgrima de Jujuy
Crysthyan Lucas,Crysthyan Lucas,Crysthyan,2000219513,Londrina Esporte Clube SAF,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000219513.png,Londrina
