wyscout_name,fm_name,fm_id,fm_nation,match_score,logo_url
Marbella,Marbella,2000384058,Spain,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000384058.png
Metalist 1925 Kharkiv,Metalist 1925 Kharkiv,71099430,Ukraine,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_71099430.png
Montedio Yamagata,Montedio Yamagata,107301,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_107301.png
NAC Breda,NAC Breda,1024,The Netherlands,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1024.png
Nagoya Grampus,Nagoya Grampus,1191,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1191.png
Ninh Binh,Ninh Binh,23022461,Vietnam,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_23022461.png
North Esporte Clube,North Esporte Clube,2000194009,Brazil,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000194009.png
Nottingham Forest,Nottingham Forest,692,England,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_692.png
O'Higgins,O'Higgins,400,Chile,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_400.png
Odra Opole,Odra Opole,129567,Poland,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_129567.png
Palestino,Palestino,130780,Chile,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_130780.png
Persebaya Surabaya,Persebaya Surabaya,116145,Indonesia,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_116145.png
Persik Kediri,Persik Kediri,5622879,Indonesia,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5622879.png
Persis Solo,Persis Solo,5622862,Indonesia,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5622862.png
Phrae United,Phrae United,23077993,Thailand,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_23077993.png
Pisa,Pisa,2000350118,,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000350118.png
Pogoń Szczecin,Pogoń Szczecin,1459,Poland,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1459.png
Port FC,Port FC,23295496,Thailand,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_23295496.png
Portland Timbers,Portland Timbers,975489,The United States of America,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_975489.png
Puebla,Puebla,2000254873,Mexico,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000254873.png
Qingdao Hainiu,Qingdao Hainiu,412,The People's Republic of China,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_412.png
Qingdao West Coast,Qingdao West Coast,34039025,The People's Republic of China,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_34039025.png
RFC Seraing,RFC Seraing,216,Belgium,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_216.png
RKC Waalwijk,RKC Waalwijk,1032,The Netherlands,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1032.png
RWD Molenbeek,RWD Molenbeek,2000465790,,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000465790.png
Radomiak Radom,Radomiak Radom,717327,Poland,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_717327.png
Raków Częstochowa,Raków Częstochowa,722115,Poland,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_722115.png
Rangers,Rangers,1570,Scotland,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1570.png
Real Oviedo,Real Oviedo,1741,Spain,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1741.png
Red Bull Bragantino,Red Bull Bragantino,317,Brazil,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_317.png
Reggiana,Reggiana,2000350128,,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000350128.png
Riga FC,Riga FC,47053664,Latvia,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_47053664.png
Rukh Lviv,Rukh Lviv,71045065,Ukraine,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_71045065.png
Sabadell,Sabadell,2000328219,Spain,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000328219.png
Santa Fe,Santa Fe,75000017,,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_75000017.png
Selangor,Selangor,23502301,Malaysia,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_23502301.png
Shakhtar Donetsk,Shakhtar Donetsk,1895,Ukraine,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1895.png
Shandong Taishan,Shandong Taishan,116403,The People's Republic of China,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_116403.png
Shanghai Port,Shanghai Port,23292170,The People's Republic of China,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_23292170.png
Shanghai Shenhua,Shanghai Shenhua,414,The People's Republic of China,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_414.png
Shenzhen Peng City,Shenzhen Peng City,2000328113,The People's Republic of China,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000328113.png
Shijiazhuang Gongfu,Shijiazhuang Gongfu,2000183928,The People's Republic of China,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000183928.png
Shimizu S-Pulse,Shimizu S-Pulse,1194,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1194.png
Stade Tunisien,Stade Tunisien,5390013,Tunisia,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5390013.png
Stal Rzeszów,Stal Rzeszów,130127,Poland,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_130127.png
Tigres UANL,Tigres UANL,2000254878,Mexico,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000254878.png
Tottenham Hotspur,Tottenham Hotspur,728,England,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_728.png
